Random seed set to: 456

Demands:
D(m1, t=1, ('l1', 'k1')) = 7.5
Arc (m8_in -> m8_q_l1), t=1, commodity=('l1', 'k5'): flow=9.6
Arc (m8_in -> m8_q_l1), t=2, commodity=('l1', 'k1'): flow=5.1
Arc (m8_in -> m8_q_l1), t=2, commodity=('l1', 'k2'): flow=14.9
Arc (m8_in -> m8_q_l1), t=2, commodity=('l1', 'k3'): flow=7.8
Arc (m8_in -> m8_q_l1), t=2, commodity=('l1', 'k4'): flow=11.8
Arc (m8_in -> m8_q_l1), t=2, commodity=('l1', 'k5'): flow=10.5
Arc (m9_in -> m9_q_l1), t=1, commodity=('l1', 'k1'): flow=6.1
Arc (m9_in -> m9_q_l1), t=1, commodity=('l1', 'k2'): flow=9.5
Arc (m9_in -> m9_q_l1), t=1, commodity=('l1', 'k3'): flow=7.8
Arc (m9_in -> m9_q_l1), t=1, commodity=('l1', 'k4'): flow=7.1
Arc (m9_in -> m9_q_l1), t=1, commodity=('l1', 'k5'): flow=19.5
Arc (m9_in -> m9_q_l1), t=2, commodity=('l1', 'k1'): flow=11.2
Arc (m9_in -> m9_q_l1), t=2, commodity=('l1', 'k2'): flow=6.6
Arc (m9_in -> m9_q_l1), t=2, commodity=('l1', 'k3'): flow=14.3
Arc (m9_in -> m9_q_l1), t=2, commodity=('l1', 'k4'): flow=7.3
Arc (m9_in -> m9_q_l1), t=2, commodity=('l1', 'k5'): flow=10.6

Positive queue carryover flows (q_l? to q_l?):
Arc (m1_q_l2 -> m1_q_l2), t=1 to 2, commodity=('l1', 'k1'): flow=47.1
Arc (m2_q_l2 -> m2_q_l2), t=1 to 2, commodity=('l1', 'k2'): flow=64.8
Arc (m3_q_l2 -> m3_q_l2), t=1 to 2, commodity=('l2', 'k3'): flow=82.1
Arc (m4_q_l2 -> m4_q_l2), t=1 to 2, commodity=('l2', 'k4'): flow=55.6
Arc (m5_q_l2 -> m5_q_l2), t=1 to 2, commodity=('l1', 'k5'): flow=55.1
Arc (m5_q_l2 -> m5_q_l2), t=1 to 2, commodity=('l2', 'k5'): flow=4.4

Positive in carryover flows (in to in across time):
Arc (m1_in -> m1_in), t=1 to 2, commodity=('l2', 'k2'): flow=8.2
Arc (m7_in -> m7_in), t=1 to 2, commodity=('l2', 'k3'): flow=4.0

Objective Component Sums:
Deployment (CSAM): 3000.0
Travel (in-in): 834.49445911
Queue Entry (in-q): 12999.999992
Repair l1 (CSAM): 30000.0002
Repair l2 (TM): 199999.99994
Carryover (q-q): 1545.1065085
In Carryover (in-in): 61.003409500000004
Dummy penalty: 655334.06
